battery_power,clock_speed,fc,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,blue,dual_sim,four_g,three_g,touch_screen,wifi
0.9498997995991985,0.0,0.3684210526315789,0.7096774193548387,0.4444444444444445,0.9249999999999999,0.0,0.5,0.3913265306122449,0.8404539385847796,0.329144385026738,0.3571428571428571,0.5,0.05555555555555555,0,1,0,1,1,1
0.08817635270541085,0.6800000000000002,0.0,0.7580645161290323,0.0,0.4916666666666666,1.0,0.05,0.2698979591836735,0.3397863818424566,0.8828877005347594,0.4285714285714286,0.05555555555555555,0.7777777777777777,1,0,1,1,1,1
0.49098196392785576,0.16000000000000003,0.10526315789473684,0.8870967741935484,0.0,0.9,0.0,0.7000000000000001,0.26377551020408163,0.20627503337783715,0.306951871657754,0.6428571428571429,0.6666666666666666,1.0,0,1,1,1,0,1
0.18704074816299265,0.24000000000000005,0.10526315789473684,0.5806451612903226,0.33333333333333337,0.9833333333333333,0.5714285714285714,0.35000000000000003,0.15510204081632656,0.7837116154873165,0.8689839572192514,0.5714285714285714,0.4444444444444444,0.16666666666666669,0,0,0,0,0,1
0.6379425517702072,0.0,0.3684210526315789,0.08064516129032258,0.33333333333333337,0.20833333333333337,0.5714285714285714,0.6000000000000001,0.4198979591836735,0.4032042723631508,0.3553475935828877,0.07142857142857145,0.2777777777777778,1.0,1,1,0,1,0,1
0.8283233132932533,0.0,0.05263157894736842,0.8548387096774194,0.0,0.5000000000000001,0.5714285714285714,0.15000000000000002,0.36683673469387756,0.17022696929238978,0.6195187165775401,0.5714285714285714,0.5555555555555556,0.27777777777777773,1,0,1,1,1,1
0.6753507014028057,0.16000000000000003,0.21052631578947367,0.7096774193548387,0.0,0.5416666666666666,0.5714285714285714,0.25,0.17142857142857143,0.11348464619492654,0.16336898395721927,0.9285714285714285,0.5555555555555556,0.9444444444444444,0,0,1,1,1,1
0.17501670006680026,0.48000000000000004,0.42105263157894735,0.0,0.4444444444444445,0.09999999999999998,1.0,0.7000000000000001,0.5244897959183674,0.4579439252336448,0.21176470588235297,0.07142857142857145,0.2222222222222222,0.3333333333333333,0,1,1,1,1,0
0.39946559786239155,0.0,0.6842105263157894,0.9516129032258065,0.2222222222222222,0.5499999999999999,0.2857142857142857,1.0,0.20051020408163267,0.3978638184245661,0.38529411764705884,0.8571428571428571,0.5555555555555556,0.05555555555555555,0,0,1,1,1,1
0.9973279893119573,0.12000000000000005,0.10526315789473684,0.08064516129032258,0.5555555555555555,0.06666666666666665,1.0,0.2,0.3403061224489796,0.14085447263017353,0.05240641711229947,0.4285714285714286,0.4444444444444444,0.2222222222222222,1,1,1,1,1,0
